,0
0,Свежая статистика по коронавирусу в России на 18 августа 
1,Свежая статистика по коронавирусу в России на 4 января 
2," Жители Лос-Анджелеса смогут добавить справку о вакцинации против COVID-19 в Apple Wallet \n\nВласти округа заключили соглашение с сервисом Healthvana, который позволяет сформировать из медицинских данных цифровой токен. "
3,ВОЗ выступила против лечения COVID-19 плазмой крови переболевших
4,Минздрав обновил рекомендации по оказанию медпомощи пациентам до 18 лет с COVID-19 
5,"Вакцинаторы! А как быть с профессором Редько, который будучи хирургом, знает о COVID-19 больше, чем проходимец Гинцбург? "
6,"Интересно, что это луганские не опубликовали ни вчера, ни сегодня число умерших в #орло от #covid19 на выходных. Раньше давали эту инфу #загадка "
7,"Ну раз не сплю, напишу вам как мы познакомились с Covid-19 дельта штамм. \nВечером легли спать, у мужа уже была температура 37, у меня нет. Ночью начало знобить, утром мы уже проснулись с температурой 39,8 у меня, у мужа 40,4. Не могли сбить ничем "
8,"account has been withheld in Portugal, Finland, Sweden, Ireland, Slovenia, Czech Republic, Poland, Slovakia, Hungary, Italy, Malta, Germany, Greece, Romania, Netherlands, Bulgaria, Austria, Luxembourg, Latvia, United Kingdom, Denmark, Lithuania, Croatia, Estonia, Cyprus, France, Spain, Belgium in response to a legal demand. Learn more."
9,Саудовская Аравия пустит на хадж привитых от COVID-19 паломников 
10,Представители российских компаний выразили надежду на создание в Кыргызстане более благоприятных условий для ведения бизнеса на фоне экономических последствий COVID-19 и политической нестабильности. 
11,В России за сутки врачи зафиксировали 71 смерть от COVID-19 
12, Президент РФ Владимир Путин принял решение в связи с пандемией COVID-19 выплатить всем гражданам по ноль рублей.
13," Цагийн хуваарь: \nДаваа- Баасан 08:00-16:00 \nБямба 08:30-15:30 \nНям 08:30-13:30 (Цаг авах шаардлагагүй)\n\n Шинжилгээний үнэ: 60,000₮\n\n Шинжилгээний тайлбар: #интермедэмнэлэг #antisarscov2s #laboratory #covid19 "
14,В Рязанской области назвали профессии с наибольшим числом заражений COVID-19 \n\n #Рязань #НовостиРязани #ryazan #rzn
15,Названо условие для возвращения карантина по COVID-19 для контактных\n\nВозвращение...\n 
16,Гинеколог- эндокринолог Великжанина: Беременная женщина не может передать COVID-19 ребенку\n#общество \n\n 
17,"2020-й прошел под знаком борьбы с #covid19. Однако не пандемией единой жила Москва в ушедшем году. Было сделано много хорошего, а новые станции #мосметро, дороги, развлекательные центры, школы и поликлиники будут хорошо служить многим поколениям москвичей. "
18,"account has been withheld in Portugal, Finland, Sweden, Ireland, Slovenia, Czech Republic, Poland, Slovakia, Hungary, Italy, Malta, Germany, Greece, Romania, Netherlands, Bulgaria, Austria, Luxembourg, Latvia, United Kingdom, Denmark, Lithuania, Croatia, Estonia, Cyprus, France, Spain, Belgium in response to a legal demand. Learn more."
19,"#COVID19\nСмертельная статистика вакцинации против COVID-19: \nпо США на сегодняшний день число летальных исходов от вакцинаций составляет более 17 тысяч человек. По мнению специалистов, этот показатель занижен как минимум в пять раз.\n "
20,Ясно понятно \n#бизнес 
21,Дэлхийн буурай хөгжилтэй улс орнуудын хүн амын 5% нь л covid-19 вакцинд хамрагдсан бол хөгжилтэй орнуудын 67% хамрагдсан байна.
22,Минздрав Израиля запретил своим гражданам ездить в Россию и Аргентину из-за ситуации с COVID-19\n 
23,смотрю видео до конца - ВИРУС СТОП! covid-19 не пройдет через @username subscribe and like it!
24,Тарган хүмүүст вакцин үйлчлэхгүй байх гэнэ. Турах бас нэг шалтгаан байна даа. 
25, Минздрав отмечает рост заболеваемости острыми респираторными инфекциями и COVID-19\n\nОб этом здесь   
26,Как курение влияет на риск заразиться Covid-19? Главное о коронавирусе за 19 ноября: 
27,"Реконструкция в областной больнице, газовая проблема Бердянска и борьба с COVID-19 - важные темы недели \n\n выбрали три топовых, на наш взгляд, темы недели и попросили прокомментировать их главу Запорожской ОГА Александра Старуха. #Старух #больница #га... "
28,Билл Гейтс предупредил о двух угрозах человечеству после завершения пандемии \n\n 
29,В Крыму за сутки зарегистрировали еще 9 летальных случаев от COVID-19\n\nЗа весь период с начала пандемии от коронавируса скончалось 492 человека\n 
30,И ... стеклянный в руки не давать. Разобьют и порежутся.
31,Путин предложил лидерам G20 ускорить взаимное признание вакцин от COVID-19 
32,COVID-19 илдетинен Бишкек шаарында бир адам каза болду. 
33,"Число смертей от COVID в США превысило количество жертв испанки в XX веке\n\nЕсли пандемия 1918–1919 годов унесла жизни 675 тыс. американцев, то от COVID-19 уже скончались более 676 тыс. Пандемия испанки считается самой массовой в новой истории. "
34,Вакцины от COVID-19 защищают от всех штаммов? через @username
35," ️Конституционный суд Словении постановил, что указ о принудительной вакцинации государственных работников от коронавируса COVID-19 является незаконным"
36,"""Смерть от ковида в России, судя по цифрам, так или иначе коснулась почти всех"", - считает Лола Тагаева. Между избыточной смертностью в России (358 тысяч человек) и официальной статистикой смертности от COVID-19 за 2020 год (57 тысяч) разница в шесть раз\n "
37,"Covid-19 в Украине, данные МОЗ на 09.08:\n\n+1199 новых случаев, 80 949 всего (+1.5%, вчера +1.9%);\n\n+18 смертей, 1897 всего (+1%, вчера +1.5%);\n\n+317 выздоровлений, 43 972 всего (+0.7%, вчера +1.4%);\n\n+14 973 ПЦР-тестов (19 327 вчера, 1 169 351 всего). "
38,"$$$ - ФСЁ!!!\nCOVID-19 - НИЧТО! (сарказм, если что)"
